54,244.1,102.47,3.706
79,325.5,114.87,2.223
56,264.3,73.32,0.11
60,314.1,68.92,6.829
49,240.2,40.34,13.274
17,95.1,47.82,11.521
34,173.9,48.68,0.85
50,228.5,40.61,1.108
113,400.3,113.86,0.435
98,459,95.02,2.911
16,112.1,25.2,2.919
103,383.3,108.37,0.629
57,354.4,54.9,7.944
42,189.4,38.08,7.181
57,244.3,42.15,5.359
39,158,46.56,0.646
41,166.4,44.74,0.269
72,264.8,85.12,5.32
71,324.5,51.62,17.531
71,401.7,71.45,0.289
56,274.9,44.43,0.073
19,116.7,50.63,17.241
57,320.1,63.51,1.823
75,210.2,106.16,11.703
53,231,70.17,8.771
63,295.5,87.81,0.322
57,288.6,49.11,1.046
37,141.2,67.55,0.572
49,187.8,84.86,2.619
27,156.5,24.19,11.503
61,262.3,64.95,2.175
20,116.7,28.45,0.086
22,95.9,36.51,12.757
27,102.2,32.53,2.008
30,166.9,45.95,1.004
71,376.9,87.72,0.085
49,297.2,63.26,3.504
28,107.5,40.06,2.889
70,241.2,54.06,3.323
35,131.1,48.35,0.397
41,190.8,46.26,0.669
38,163.1,36.59,0.506
49,281,58.58,29.209
49,175.1,56.29,0.584
26,96.9,41.09,1.489
42,204.8,69.05,0.526
40,229.3,59.67,7.84
55,216.4,88.81,1.964
65,227.9,58.99,2.231
65,276.7,57.21,8.185
26,98.8,38.27,5.507
45,206.7,78.59,6.502
19,115.5,44.42,0.082
21,113.2,33.13,2.782
43,144.3,46.74,8.521
73,287.1,52.53,3.381
28,131.4,48.48,7.736
50,311.3,60.56,48.179
39,213.1,37.73,13.014
65,281.6,65.42,0.371
22,138.9,21.96,0.576
44,169.7,61.13,1.666
54,228.5,60.28,0.763
65,360,106.59,1.777
73,407.1,54.8,12.62
45,234.1,71.06,0.901
14,81.8,26.69,1.302
28,127.2,42.36,1.422
22,128.9,42.18,5.501
89,323.5,117.83,9.473
31,166.5,33.54,1.598
58,269.7,91.57,1.243
39,224.6,37.84,8.114
61,248.8,51.9,5.918
28,154.5,34.72,4.16
15,95.5,33.5,268.391
15,70.1,20.97,2.097
53,244,67.4,3.337
40,244.3,57.04,1.764
39,188.3,53.15,5.042
71,290.7,86.49,0.91
49,240.6,44,9.068
47,205.6,74,31.087
74,343.4,79.8,2.273
27,132.3,48.4,1.805
57,252.5,50.91,0.859
59,285,67.99,0.983
38,228.1,62.69,0.155
47,234.1,74.48,1.845
20,138.4,32.4,0.533
20,75.2,21.06,13.157
45,192.9,42.61,2.527
57,265.6,69.15,2.172
94,337.3,110.2,16.297
30,118.2,48.16,0.139
47,238.4,49.21,3.279
41,214.9,92.93,0.409
30,153.8,43.59,0.762
34,176.8,58.34,2.947
54,210.6,57.05,7.619
60,242.5,50.84,0.57
26,126.1,45.95,4.585
45,184.9,72.56,17.828
32,165.9,71.15,0.555
49,334.2,51.84,0.452
31,140.3,29.36,1.965
53,265.4,92.92,5.122
58,215.1,70.21,2.005
77,411.1,59.76,0.588
39,156.8,44.5,2.377
28,142.6,33.35,2.728
26,119.2,53.01,1.027
70,329.1,86.28,0.372
22,112.9,37.24,3.843
62,270.8,73.19,2.052
45,346.3,45.89,1.16
71,276.3,96.82,0.776
22,112.5,38.41,0.944
39,291.3,47.89,0.545
19,83,30.74,0.42
100,451.6,91.91,13.347
59,218.9,53.65,1.392
70,361.5,89.97,0.15
22,120.4,50.04,0.962
34,182.1,86.24,9.813
38,170.4,56.55,0.892
65,295,57.69,28.765
38,228.9,52.33,0.621
57,172.3,50.66,0.646
54,183.7,54.02,0.425
36,184.8,41.1,11.46
27,119.7,32.45,0.838
35,158.4,51.94,3.74
53,185.4,47.13,0.169
49,190.3,69.52,0.847
44,189.3,66.99,5.376
17,79.3,38.15,0.293
65,246.1,70.91,2.156
50,211.4,69.91,4.553
37,150.4,77.54,28.813
43,253.6,55.47,5.232
38,151.7,47.86,8.275
50,310.5,93.56,1.176
37,166.7,26.51,0.839
27,104,35.52,2.177
24,108.6,67.79,0.524
20,123.5,29.59,10.765
32,188.7,39.39,6.404
36,177.1,35.69,8.473
62,286.8,84.09,13.254
53,267.2,36.86,1.701
43,154.9,44.25,0.841
42,178.8,62,4.4
27,99.6,40.43,11.258
63,256.8,81.51,7.248
40,222.9,53.86,8.261
29,161.4,49.81,19.151
70,444.7,53.9,3.115
39,187.7,53.5,12.174
31,106.2,29.96,1.965
37,235.9,60.2,6.536
26,163.8,36.54,0.244
21,98.3,40.11,20.213
93,399.5,78.35,0.14
76,369.1,85.19,2.723
49,239,77.09,1.19
18,108.6,18.98,0.352
26,127.8,24.55,3.31
40,185,32.55,3.292
59,264.2,82.19,16.609
17,78.6,32.61,2.456
48,281.4,49.2,4.757
14,79.3,38.93,2.88
50,253.8,61.72,18.077
51,199.1,40.7,10.902
52,195.6,47.62,2.032
40,187,36.95,2.41
47,205.3,72.75,28.855
34,198.9,39.87,1.396
60,294.4,50.36,7.244
16,95.6,24.93,0.536
52,183.9,49.89,0.638
26,111.7,48.86,7.296
36,179.8,54.97,5.289
54,228.5,67.91,9.779
63,346.9,77.7,0.774
21,136.6,34.47,9.209
68,267.1,57.68,2.588
56,290.7,73.92,1.863
42,247,43.38,25.201
39,195.2,39.13,17.266
39,241.2,38.82,0.068
37,211.1,61.31,3.414
43,209.4,69.96,0.559
44,236.9,35.56,1.276
59,271.7,64.55,0.772
73,292.7,81.74,22.871
52,250.8,52.94,12.868
39,184.8,61.58,4.6
55,233,68.25,5.745
47,289.6,55.15,3.976
23,120.8,31.24,5.58
62,432.7,81.43,2.916
49,212.8,73.24,1.53
46,231.8,63.57,4.283
53,313.6,58.77,1.256
48,350.4,73.67,1.107
24,130.4,30.03,1.334
40,163.8,53.61,1.752
40,216.3,73.69,2.024
33,126.1,43.24,89.196
76,310.4,63.83,0.319
26,135.5,63.33,0.401
33,208.3,43.43,2.893
29,182.7,46.97,1.854
20,103.3,26.92,0.669
39,216.5,55.02,3.266
38,169.1,56,6.188
73,351.7,76.88,0.354
38,250,54.52,1.085
22,116.4,47.58,0.29
75,303.7,54.75,2.267
67,269.1,76.6,2.557
38,205.7,30.75,5.568
13,92.8,25.57,0.392
34,236.7,75.97,3.125
40,189.6,65.56,1.613
48,227.7,58.64,16.136
38,161.3,45.99,3.169
52,308,69.97,0.893
51,227.3,78.84,1.419
18,89.6,31.39,0.895
